Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2023-01-24,7207.56005859375,7317.097445502469,7207.56005859375,7273.282490738981,42474500
2023-01-25,7185.6533203125,7273.283238852897,7185.6533203125,7273.283238852897,66124500
2023-01-26,7426.63525390625,7426.63525390625,7207.5604676553285,7207.5604676553285,77582300
2023-01-27,7623.80224609375,7755.247112405711,7492.357379781789,7623.80224609375,196804700
2023-01-30,7623.80224609375,7689.524679249731,7514.264857500449,7645.70972381241,68544300
2023-01-31,7426.63525390625,7601.895082906987,7426.63525390625,7558.080125656803,200589000
2023-02-01,7448.54296875,7514.265406709558,7404.728010110294,7514.265406709558,77396200
2023-02-02,7404.728515625,7470.450958071376,7360.913553994083,7382.821034809542,99109500
2023-02-03,7623.80224609375,7623.80224609375,7448.542424344469,7492.357379781789,71716700
2023-02-06,7645.708984375,7667.616459974928,7579.986557575215,7667.616459974928,117757700
2023-02-07,7755.2470703125,7755.2470703125,7667.617159913489,7689.524637513242,116014700
2023-02-08,7733.34033203125,7755.2478117253895,7711.4328523371105,7733.34033203125,54495500
2023-02-09,7799.0615234375,7799.0615234375,7711.431618679775,7733.339094869207,72381700
2023-02-10,7733.34033203125,7799.0627711136685,7623.802933560552,7777.155291419529,62060900
2023-02-13,7777.15478515625,7799.062263424295,7689.524872084066,7777.15478515625,63775000
2023-02-14,7842.87744140625,7842.877441406251,7733.340046973202,7755.2475258598115,81678200
2023-02-15,7777.15478515625,7799.062263424295,7667.617393816021,7777.15478515625,38037000
2023-02-16,7623.80224609375,7755.247112405711,7623.80224609375,7733.339634687051,66040400
2023-02-17,7645.708984375,7755.246362374642,7645.708984375,7689.523935574856,43588900
2023-02-20,7667.6171875,7733.339620535715,7623.802232142858,7645.709709821429,40077000
2023-02-21,7623.80224609375,7711.432156968391,7623.80224609375,7689.524679249731,25390500
2023-02-22,7601.89501953125,7667.61745485861,7558.080062646344,7623.802497973704,38671900
2023-02-23,7645.708984375,7667.616459974928,7558.0790819752865,7558.0790819752865,53412300
2023-02-24,7601.89501953125,7755.247368628423,7601.89501953125,7689.524933301063,44123400
2023-02-27,7689.5244140625,7689.5244140625,7579.987029246795,7601.894506209936,59983900
